page,location,text,char_count,typography_variant,text_source
(protected)/(onboarding)/paid,Slideshow slide description,"Never miss a shot with dynamic, sortable shot lists.",52,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide title,Pro: Vendor Lists,17,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide description,Organize all your vendors and contacts in one place.,52,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide title,Pro: Custom Branding,20,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide description,Add your logo and colors to client-facing materials.,52,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide title,Pro: You're a Pro!,18,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide description,You have all the tools to deliver exceptional experiences.,58,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/expiring,Splash title,Subscription Notice,19,DynamicSplash title,constants/onboarding-content
(protected)/(onboarding)/expiring,Splash description,Your subscription is ending soon and auto-renew is off. Update your settings to continue enjoying premium features.,115,DynamicSplash description,constants/onboarding-content
(protected)/(app)/(projects)/index,Top bar title,Projects,8,StandardAppTopBar title,inline string
(protected)/(app)/(projects)/index,Sign-out dialog title,Sign Out,8,Sign-out dialog title,inline string
(protected)/(app)/(projects)/index,Sign-out dialog content,Are you sure you want to sign out?,34,Sign-out dialog content,inline string
(protected)/(app)/(projects)/index,Sign-out dialog confirm,Sign Out,8,Sign-out dialog confirm label,inline string
(protected)/(app)/(projects)/index,Empty state title,No projects yet,15,headlineMedium,inline string
(protected)/(app)/(projects)/index,Empty state description,Create your first project to get started!,41,bodyMedium,inline string
(protected)/(app)/(projects)/index,Launch button,Launch Project,14,StandardAppButton/primary,inline string
(protected)/(app)/(projects)/index,Project count label,Projects remaining: —,21,labelSmall,inline string
(protected)/(app)/(projects)/index,Project count label,Projects remaining: {count},27,labelSmall,inline template
(protected)/(app)/(projects)/index,Delete dialog title,Delete Project,14,StandardAppDialog title,inline string
(protected)/(app)/(projects)/index,Delete dialog content,This will permanently delete the selected project.,50,StandardAppDialog content,inline string
(protected)/(app)/(projects)/index,Delete dialog action,Cancel,6,StandardAppDialog action,inline string
(protected)/(app)/(projects)/index,Delete dialog action,Delete,6,StandardAppDialog action,inline string
(protected)/(app)/(projects)/global,Top bar title,Global Resources,16,StandardAppTopBar title,inline string
(protected)/(app)/(projects)/global,Sign-out dialog title,Sign Out,8,Sign-out dialog title,inline string
(protected)/(app)/(projects)/global,Sign-out dialog content,Are you sure you want to sign out?,34,Sign-out dialog content,inline string
(protected)/(app)/(projects)/global,Sign-out dialog confirm,Sign Out,8,Sign-out dialog confirm label,inline string
(protected)/(app)/(projects)/global,Segmented button label,Global Notes,12,StandardAppSegmentedButtons label,inline string
(protected)/(app)/(projects)/global,Segmented button label,Global Tags,11,StandardAppSegmentedButtons label,inline string
(protected)/(app)/(projects)/global,Segmented button label,Global Vendors,14,StandardAppSegmentedButtons label,inline string
(protected)/(app)/(projects)/global,Loading message,Loading global notes...,23,LoadingStateDisplay loadingMessage,inline string
(protected)/(app)/(projects)/global,Loading message,Loading global tags...,22,LoadingStateDisplay loadingMessage,inline string
(protected)/(app)/(projects)/global,Loading message,Loading global vendors...,25,LoadingStateDisplay loadingMessage,inline string
(protected)/(app)/(projects)/global,Empty state,No global notes yet. Add one to keep track of ideas.,52,StandardAppText/default,inline string
(protected)/(app)/(projects)/global,Section header,Pinned,6,titleMedium,inline string
(protected)/(app)/(projects)/global,Empty state,Nothing pinned yet.,19,StandardAppText/default,inline string
(protected)/(app)/(projects)/global,Section header,Notes,5,titleMedium,inline string
(protected)/(app)/(projects)/global,Dialog title,Edit Note,9,StandardAppDialog title,inline template
(protected)/(app)/(projects)/global,Dialog title,Add Note,8,StandardAppDialog title,inline template
(protected)/(app)/(projects)/global,Dialog action,Cancel,6,StandardAppDialog action,inline string
(protected)/(app)/(projects)/global,Dialog action,Save,4,StandardAppDialog action,inline template
(protected)/(app)/(projects)/global,Dialog action,Add,3,StandardAppDialog action,inline template
(protected)/(app)/(projects)/global,Input label,Title (Optional),16,StandardAppTextInput label,inline string
(protected)/(app)/(projects)/global,Input label,Content,7,StandardAppTextInput label,inline string
(protected)/(app)/(projects)/global,Input placeholder,Type your note here...,22,StandardAppTextInput placeholder,inline string
(protected)/(app)/(projects)/global,Search placeholder,Search global tags...,21,StandardAppTextInput placeholder,inline string
(protected)/(app)/(projects)/global,Search placeholder,Search global vendors...,24,StandardAppTextInput placeholder,inline string
(protected)/(app)/(projects)/global,Empty state,No tags match your search.,26,StandardAppText/default,inline string
(protected)/(app)/(projects)/global,Empty state,No global tags yet.,19,StandardAppText/default,inline string
(protected)/(app)/(projects)/global,Empty state,No vendors match your search.,29,StandardAppText/default,inline string
(protected)/(app)/(projects)/global,Empty state,No global vendors yet.,22,StandardAppText/default,inline string
(protected)/(app)/(projects)/global,Info card title,Upgrade Required,16,InfoCard title,inline string
(protected)/(app)/(projects)/global,Info card description,"Your current plan does not include global lists. Upgrade to manage notes, tags, and vendors across projects.",108,InfoCard description,inline string
(protected)/(app)/(projects)/global,Info card button,View Plans,10,InfoCard button,inline string
(protected)/(app)/(projects)/user-lists,Top bar title,My Lists,8,StandardAppTopBar title,inline string
(protected)/(app)/(projects)/user-lists,Sign-out dialog title,Sign Out,8,Sign-out dialog title,inline string
(protected)/(app)/(projects)/user-lists,Sign-out dialog content,Are you sure you want to sign out?,34,Sign-out dialog content,inline string
(protected)/(app)/(projects)/user-lists,Sign-out dialog confirm,Sign Out,8,Sign-out dialog confirm label,inline string
(protected)/(app)/(projects)/user-lists,Intro,Customize your default templates. Changes here apply to all new projects.,73,bodyMedium,inline string
(protected)/(app)/(projects)/user-lists,List card title,Kit List Template,17,titleMedium,inline string
(protected)/(app)/(projects)/user-lists,List card description,Manage your default equipment checklist,39,bodySmall,inline string
(protected)/(app)/(projects)/user-lists,List card title,Task List Template,18,titleMedium,inline string
(protected)/(app)/(projects)/user-lists,List card description,Set up standard to-dos and reminders,36,bodySmall,inline string
(protected)/(app)/(projects)/user-lists,List card title,Group Shots Template,20,titleMedium,inline string
(protected)/(app)/(projects)/user-lists,List card description,Define standard formal group combinations,41,bodySmall,inline string
(protected)/(app)/(projects)/user-lists,List card title,Couple Shots Template,21,titleMedium,inline string
(protected)/(app)/(projects)/user-lists,List card description,Manage your creative couple poses list,38,bodySmall,inline string
(protected)/(app)/(projects)/account,Top bar title,Account,7,StandardAppTopBar title,inline string
(protected)/(app)/(projects)/account,Sign-out dialog title,Sign Out,8,Sign-out dialog title,inline string
(protected)/(app)/(projects)/account,Sign-out dialog content,Are you sure you want to sign out?,34,Sign-out dialog content,inline string
(protected)/(app)/(projects)/account,Sign-out dialog confirm,Sign Out,8,Sign-out dialog confirm label,inline string
(protected)/(app)/(projects)/account,Section title,Profile,7,titleMedium,inline string
(protected)/(app)/(projects)/account,Section title,Subscription,12,titleMedium,inline string
(protected)/(app)/(projects)/account,Section title,Preferences,11,titleMedium,inline string
(protected)/(app)/(projects)/account,Section title,Customizations,14,titleMedium,inline string
(protected)/(app)/(projects)/account,List item title,Profile & Contact,17,StandardAppList title,inline string
(protected)/(app)/(projects)/account,List item description,"Display name, contact, and business info",40,StandardAppList description,inline string
(protected)/(app)/(projects)/account,List item title,Manage Subscription,19,StandardAppList title,inline string
(protected)/(app)/(projects)/account,List item description,View plan details and billing,29,StandardAppList description,inline string
(protected)/(app)/(projects)/account,List item title,App Settings,12,StandardAppList title,inline string
(protected)/(app)/(projects)/account,List item description,"Theme, notifications, and defaults",34,StandardAppList description,inline string
(protected)/(app)/(projects)/account,List item title,Branding,8,StandardAppList title,inline string
(protected)/(app)/(projects)/account,List item description,Loading plan features...,24,StandardAppList description,inline string
(protected)/(app)/(projects)/account,List item description,Plan data unavailable,21,StandardAppList description,inline string
(protected)/(app)/(projects)/account,List item description,Upgrade to unlock custom branding,33,StandardAppList description,inline string
(protected)/(app)/(projects)/account,List item description,Brand colors and logo,21,StandardAppList description,inline string
(protected)/(app)/(projects)/account,Footer button,Sign Out,8,StandardAppButton/secondary,inline string
(protected)/(app)/(projects)/account,Footer version,v2.1.0,6,bodyMedium,inline string
(protected)/(app)/(projects)/account,Profile form title,Profile & Contact,17,Form title,inline string
(protected)/(app)/(projects)/account,Profile form subtitle,Update your profile details and business info,45,Form subtitle,inline string
(protected)/(app)/(projects)/account,Profile form submit,Save Profile,12,Form submit button,inline string
(protected)/(app)/(projects)/account,Profile form cancel,Cancel,6,Form cancel button,inline string
(protected)/(app)/(projects)/account,Profile form field label,Display Name,12,Form field label,inline string
(protected)/(app)/(projects)/account,Profile form field label,First Name,10,Form field label,inline string
(protected)/(app)/(projects)/account,Profile form field label,Last Name,9,Form field label,inline string
(protected)/(app)/(projects)/account,Profile form field label,Phone,5,Form field label,inline string
(protected)/(app)/(projects)/account,Profile form field label,Business Name,13,Form field label,inline string
(protected)/(app)/(projects)/account,Profile form field label,Website,7,Form field label,inline string
(protected)/(app)/(projects)/account,Profile form field label,Bio,3,Form field label,inline string
(protected)/(app)/(projects)/account,Profile form placeholder,Your display name,17,Form field placeholder,inline string
(protected)/(app)/(projects)/account,Profile form placeholder,First name,10,Form field placeholder,inline string
(protected)/(app)/(projects)/account,Profile form placeholder,Last name,9,Form field placeholder,inline string
(protected)/(app)/(projects)/account,Profile form placeholder,+1 555 123 4567,15,Form field placeholder,inline string
(protected)/(app)/(projects)/account,Profile form placeholder,Studio or company name,22,Form field placeholder,inline string
(protected)/(app)/(projects)/account,Profile form placeholder,https://example.com,19,Form field placeholder,inline string
(protected)/(app)/(projects)/account,Profile form placeholder,Tell us about your work,23,Form field placeholder,inline string
(protected)/(app)/(projects)/account,Profile form validation,First name is required,22,Form validation message,inline string
(protected)/(app)/(projects)/account,Profile form validation,Last name is required,21,Form validation message,inline string
(protected)/(app)/(projects)/account,Profile form validation,Bio must be 500 characters or less,34,Form validation message,inline string
(protected)/(app)/(projects)/account,Profile form validation,Business name must be 100 characters or less,44,Form validation message,inline string
(protected)/(app)/(projects)/account,Profile form validation,First and last name must both be provided,41,Form validation message,inline string
(protected)/(app)/(projects)/account,Preferences form title,User Preferences,16,Form title,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form subtitle,Customize your application settings,35,Form subtitle,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form submit,Save Preferences,16,Form submit button,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form cancel,Cancel,6,Form cancel button,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Enable Notifications,20,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Dark Mode,9,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Language,8,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Weather Units,13,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Week Starts On,14,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Marketing Consent,17,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Timezone,8,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Date Format,11,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Time Format,11,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,General Settings,16,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Localization,12,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Formatting,10,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,English,7,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Spanish,7,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,French,6,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,German,6,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Italian,7,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Portuguese,10,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Chinese,7,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Japanese,8,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Korean,6,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Metric (Celsius),16,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Imperial (Fahrenheit),21,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Sunday,6,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Monday,6,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Tuesday,7,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Wednesday,9,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Thursday,8,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Friday,6,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,Saturday,8,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,12 Hour,7,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form label,24 Hour,7,Form label,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,Receive push notifications for important updates,48,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,Use dark theme for the application,34,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,Select your preferred language,30,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,Choose temperature unit (Celsius or Fahrenheit),47,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,Select which day the week starts,32,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,Receive marketing emails and promotional content,48,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,"Enter your timezone (e.g., America/New_York)",44,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,Enter your preferred date format,32,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,Choose 12-hour or 24-hour time format,37,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form helper,Choose temperature unit,23,Form helper text,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form placeholder,UTC,3,Form field placeholder,constants/user-preferences-form
(protected)/(app)/(projects)/account,Preferences form placeholder,Select your preferred date format,33,Form field placeholder,constants/user-preferences-form
(protected)/(app)/(projects)/account,Customizations form title,Brand Customizations,20,Form title,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form subtitle,Customize your branding and theme colors,40,Form subtitle,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form submit,Save Customizations,19,Form submit button,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form cancel,Cancel,6,Form cancel button,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form label,Primary Color,13,Form label,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form label,Secondary Color,15,Form label,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form label,Accent Color,12,Form label,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form label,Background Color,16,Form label,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form label,Text Color,10,Form label,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form label,Logo URL,8,Form label,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form label,Brand Colors,12,Form label,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form label,Brand Assets,12,Form label,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form label,Background,10,Form label,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form helper,Main brand color,16,Form helper text,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form helper,Secondary brand color,21,Form helper text,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form helper,Accent color for highlights,27,Form helper text,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form helper,Background color,16,Form helper text,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form helper,Primary text color,18,Form helper text,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form helper,URL to your logo image,22,Form helper text,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form helper,Define your color palette,25,Form helper text,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form helper,Accent color,12,Form helper text,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form helper,Main text color,15,Form helper text,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form placeholder,#FF5733,7,Form field placeholder,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form placeholder,#33FF57,7,Form field placeholder,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form placeholder,#3357FF,7,Form field placeholder,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form placeholder,#FFFFFF,7,Form field placeholder,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form placeholder,#000000,7,Form field placeholder,constants/customizations-form
(protected)/(app)/(projects)/account,Customizations form placeholder,https://example.com/logo.png,28,Form field placeholder,constants/customizations-form
(auth)/sign-in,Auth form submit,Sign In,7,Form submit button,constants/auth-forms.config
(auth)/sign-in,Auth form cancel,Cancel,6,Form cancel button,constants/auth-forms.config
(auth)/sign-in,Auth field label,Email Address,13,Form field label,constants/auth-forms.config
(auth)/sign-in,Auth field placeholder,Enter your email,16,Form field placeholder,constants/auth-forms.config
(auth)/sign-in,Auth field helper,Enter the email address associated with your account,52,Form helper text,constants/auth-forms.config
(auth)/sign-in,Auth field label,Password,8,Form field label,constants/auth-forms.config
(auth)/sign-in,Auth field placeholder,Enter your password,19,Form field placeholder,constants/auth-forms.config
(auth)/sign-in,Auth field helper,Enter your account password,27,Form helper text,constants/auth-forms.config
(auth)/sign-in,Auth field label,Remember me,11,Form field label,constants/auth-forms.config
(auth)/register,Auth form submit,Create Account,14,Form submit button,constants/auth-forms.config
(auth)/register,Auth form cancel,Cancel,6,Form cancel button,constants/auth-forms.config
(auth)/register,Auth field label,Display Name,12,Form field label,constants/auth-forms.config
(auth)/register,Auth field label,Email Address,13,Form field label,constants/auth-forms.config
(auth)/register,Auth field label,Password,8,Form field label,constants/auth-forms.config
(auth)/register,Auth field label,Confirm Password,16,Form field label,constants/auth-forms.config
(auth)/register,Auth field label,I agree to [Terms of Service](terms) and [Privacy Policy](privacy),66,Form field label,constants/auth-forms.config
(auth)/register,Auth field label,I would like to receive marketing emails,40,Form field label,constants/auth-forms.config
(auth)/register,Auth field placeholder,Display name,12,Form field placeholder,constants/auth-forms.config
(auth)/register,Auth field placeholder,email@address.com,17,Form field placeholder,constants/auth-forms.config
(auth)/register,Auth field placeholder,Create a password,17,Form field placeholder,constants/auth-forms.config
(auth)/register,Auth field placeholder,Confirm your password,21,Form field placeholder,constants/auth-forms.config
(auth)/register,Auth form title,Create Account,14,Form title,constants/auth-forms.config
(auth)/register,Auth form subtitle,Join EyeDoo to manage your wedding photography,46,Form subtitle,constants/auth-forms.config
(auth)/reset-password,Auth form submit,Send Reset Link,15,Form submit button,constants/auth-forms.config
(auth)/reset-password,Auth form cancel,Cancel,6,Form cancel button,constants/auth-forms.config
(auth)/reset-password,Auth form title,Reset Password,14,Form title,constants/auth-forms.config
(auth)/reset-password,Auth form subtitle,We'll send you instructions to reset your password,50,Form subtitle,constants/auth-forms.config
(auth)/reset-password,Auth field group,Reset Instructions,18,Form field group label,constants/auth-forms.config
(auth)/reset-password,Auth field label,Email Address,13,Form field label,constants/auth-forms.config
(auth)/reset-password,Auth field placeholder,Enter your email address,24,Form field placeholder,constants/auth-forms.config
(auth)/reset-password,Auth field helper,Enter the email address associated with your account,52,Form helper text,constants/auth-forms.config
(auth)/reset-password-confirm,Auth form submit,Reset Password,14,Form submit button,constants/auth-forms.config
(auth)/reset-password-confirm,Auth form cancel,Cancel,6,Form cancel button,constants/auth-forms.config
(auth)/reset-password-confirm,Auth form title,Reset Password,14,Form title,constants/auth-forms.config
(auth)/reset-password-confirm,Auth form subtitle,Enter your new password,23,Form subtitle,constants/auth-forms.config
(auth)/reset-password-confirm,Auth field group,Set New Password,16,Form field group label,constants/auth-forms.config
(auth)/reset-password-confirm,Auth field label,New Password,12,Form field label,constants/auth-forms.config
(auth)/reset-password-confirm,Auth field placeholder,Enter your new password,23,Form field placeholder,constants/auth-forms.config
(auth)/reset-password-confirm,Auth field helper,Use at least 8 characters with a mix of letters and numbers,59,Form helper text,constants/auth-forms.config
(auth)/reset-password-confirm,Auth field label,Confirm New Password,20,Form field label,constants/auth-forms.config
(auth)/reset-password-confirm,Auth field placeholder,Confirm your new password,25,Form field placeholder,constants/auth-forms.config
(auth)/reset-password-confirm,Auth field helper,Re-enter your password to confirm,33,Form helper text,constants/auth-forms.config
(auth)/reset-password-confirm,Auth validation,Passwords don't match,21,Form validation message,constants/auth-forms.config
(protected)/(payment)/pricing,Plan description,Try all features for 7 days,27,Plan description,constants/pricing-screen
(protected)/(payment)/pricing,Plan description,Perfect for getting started,27,Plan description,constants/pricing-screen
(protected)/(payment)/pricing,Plan description,For professional photographers,30,Plan description,constants/pricing-screen
(protected)/(payment)/pricing,Plan description,Complete studio solution,24,Plan description,constants/pricing-screen
